,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h,sun_hours,skyCover_7h,skyCover_14h,skyCover_19h,wind_degrees,wind_mSec,precip,year
0,1,1,-1.2,-4.1,-0.5,0.3,-0.7,-0.2,0.2,94,94,94.0,93,0.0,7,10,10,127,7.3,0.0,2013
1,1,2,-1.7,-1.7,1.5,4.7,-1.3,4.5,4.2,84,100,85.0,67,0.0,10,9,3,284,10.3,0.9,2013
2,1,3,-0.3,-3.7,3.1,6.4,0.9,3.9,5.1,86,90,85.0,84,1.5,5,10,8,271,25.6,1.9,2013
3,1,4,5.1,3.9,7.6,10.1,7.4,9.8,8.4,78,78,68.0,87,1.7,7,7,9,306,17.5,5.7,2013
4,1,5,7.1,6.8,8.7,10.3,,9.0,7.1,79,80,82.0,76,0.0,8,9,6,301,16.7,7.5,2013
5,1,6,5.5,3.6,6.4,7.3,6.5,,6.5,88,81,97.0,87,0.0,9,10,10,292,17.1,25.8,2013
6,1,7,0.6,0.1,3.8,7.0,0.9,1.8,0.9,88,98,84.0,82,0.0,10,9,9,321,12.6,13.1,2013
7,1,8,-1.3,-1.3,-0.2,0.9,-0.9,-0.6,-0.3,97,92,99.0,100,0.0,10,10,10,282,4.8,10.4,2013
8,1,9,-0.3,0.0,3.8,7.9,4.4,7.1,5.0,89,93,80.0,93,0.7,9,8,10,285,9.9,2.9,2013
9,1,10,1.8,1.8,4.1,6.4,4.4,6.0,5.1,76,86,70.0,72,1.9,9,7,9,273,13.5,0.2,2013
10,1,11,-0.6,0.9,2.4,5.3,3.9,1.5,-0.4,61,70,56.0,56,3.2,10,2,1,330,14.3,2.7,2013
11,1,12,-3.1,-4.9,-1.2,0.7,-1.7,-0.2,-40.0,69,62,59.0,85,2.1,9,10,5,278,7.9,0.0,2013
12,1,13,-4.3,-7.1,-3.3,-2.2,-3.0,-2.6,-3.0,93,93,90.0,95,0.0,10,10,10,131,9.0,4.0,2013
13,1,14,-3.0,-3.0,-2.0,-1.0,,-1.2,-2.2,94,99,91.0,92,0.0,10,10,9,111,7.6,4.0,2013
14,1,15,-3.2,-6.5,-1.5,0.2,-2.6,0.2,-0.1,89,94,80.0,92,0.0,9,9,10,114,9.7,0.0,2013
15,1,16,-1.5,-2.2,-0.4,0.7,-40.0,0.1,-0.5,80,81,72.0,87,0.0,10,9,10,289,10.5,6.3,2013
16,1,17,-1.8,-1.5,-1.0,-0.1,-1.4,-1.0,-1.7,95,97,97.0,90,0.0,10,10,9,341,8.9,10.3,2013
17,1,18,-3.4,-0.5,-2.6,-1.7,-2.8,-2.8,-3.4,87,85,86.0,90,0.0,10,10,10,348,10.6,2.6,2013
18,1,19,-4.8,-5.2,-4.1,-3.4,-4.4,-4.3,-4.7,80,78,79.0,84,0.0,10,10,10,326,8.3,0.3,2013
19,1,20,-4.9,-5.2,-2.4,0.1,-3.5,-1.0,0.1,100,100,100.0,99,0.0,10,10,10,66,5.4,0.0,2013
20,1,21,-0.2,-0.1,0.8,1.7,0.1,1.2,0.2,87,98,82.0,81,0.0,10,10,10,296,9.1,0.0,2013
21,1,22,-0.3,-1.3,0.9,2.1,-0.3,2.0,-0.1,75,80,68.0,77,2.5,9,7,9,329,9.2,0.2,2013
22,1,23,-3.9,-3.8,-2.0,0.0,-3.8,-1.3,-2.2,89,92,84.0,90,0.0,10,10,10,173,6.1,0.2,2013
23,1,24,-3.0,-3.0,-1.9,-0.8,-2.9,-1.4,-0.8,93,96,93.0,89,0.0,10,10,10,350,9.7,0.0,2013
24,1,25,-4.2,-3.7,-2.4,-0.6,-3.2,-3.7,-4.1,75,83,72.0,69,0.0,10,10,10,331,11.9,0.0,2013
25,1,26,-7.5,-6.4,-5.5,-3.4,-5.8,-3.8,-7.3,73,73,65.0,81,1.9,10,1,0,321,6.7,0.0,2013
26,1,27,-9.7,-15.5,-6.7,-3.7,-8.4,-40.0,-5.0,86,94,79.0,85,0.0,9,10,10,129,5.1,0.7,2013
27,1,28,-5.2,-5.4,-1.6,2.1,-3.4,-0.5,1.9,92,94,93.0,90,0.0,10,10,9,294,8.7,1.4,2013
28,1,29,-1.7,-7.5,2.5,6.6,-0.4,4.3,5.9,93,98,91.0,89,0.0,9,10,10,278,20.3,15.3,2013
29,1,30,5.6,3.8,9.9,14.2,7.8,13.1,10.7,77,93,65.0,73,3.3,10,9,5,321,19.5,8.0,2013
30,1,31,7.1,4.6,11.0,14.8,7.2,9.4,10.5,51,65,46.0,43,6.3,4,9,6,279,24.0,1.6,2013
31,2,1,5.2,3.4,8.0,10.8,40.0,8.9,7.7,62,69,57.0,60,3.3,9,9,10,285,18.7,0.4,2013
32,2,2,3.9,1.8,6.0,8.1,4.2,6.3,4.8,84,93,87.0,71,0.0,9,10,9,318,15.1,3.1,2013
33,2,3,0.5,-0.4,2.7,4.9,0.7,4.7,3.0,51,63,34.0,55,5.8,9,1,9,321,15.7,0.0,2013
34,2,4,1.7,0.6,3.8,5.9,2.8,3.7,5.9,80,75,85.0,81,0.0,10,10,9,265,24.4,1.8,2013
35,2,5,4.1,4.5,6.7,9.3,6.7,8.7,4.3,79,82,73.0,82,0.0,6,10,8,290,18.4,3.2,2013
36,2,6,0.8,0.0,2.7,4.5,2.2,3.6,0.8,78,94,61.0,80,0.2,10,10,7,285,11.5,2.8,2013
37,2,7,0.1,-1.0,2.6,5.1,0.3,4.1,1.6,66,73,53.0,71,5.7,10,6,4,303,11.7,0.0,2013
38,2,8,-0.4,-1.8,2.0,4.3,-0.4,2.6,0.3,63,79,48.0,62,6.5,5,8,5,286,10.5,0.0,2013
39,2,9,-1.8,-3.0,-0.5,0.9,-1.7,0.8,0.2,73,79,65.0,74,0.0,7,10,10,348,7.7,0.1,2013
40,2,10,-2.3,-2.3,-1.1,0.2,,-40.0,-2.1,88,85,88.0,91,0.0,10,10,10,304,10.1,1.5,2013
41,2,11,-5.1,-8.4,-2.6,-0.1,-3.8,-0.8,,79,90,76.0,70,0.5,9,9,9,161,15.0,3.4,2013
42,2,12,-3.4,-3.5,-1.7,0.0,-3.1,-0.9,-0.2,97,98,94.0,99,0.0,10,10,10,144,12.4,3.4,2013
43,2,13,-0.9,-1.8,-0.2,0.6,-0.8,0.2,-0.5,85,81,83.0,92,0.0,10,10,10,273,12.0,4.4,2013
44,2,14,-1.2,-1.5,0.0,1.2,-0.9,1.1,0.7,87,89,84.0,87,0.0,10,10,10,323,11.2,3.3,2013
45,2,15,-0.6,-1.9,1.0,2.6,-0.2,40.0,1.3,92,99,87.0,91,0.0,10,10,9,313,4.8,0.1,2013
46,2,16,-1.3,-4.7,1.8,4.9,0.7,4.5,2.5,77,87,61.0,84,4.2,9,7,9,277,8.0,0.0,2013
47,2,17,-0.8,-3.8,1.8,4.4,,3.8,2.6,74,83,66.0,74,2.6,6,9,9,21,7.2,0.0,2013
48,2,18,-1.4,-3.6,1.0,3.3,-1.3,3.1,1.6,74,92,60.0,70,1.6,7,9,10,53,5.1,0.0,2013
49,2,19,0.7,-0.4,2.2,3.7,1.3,2.8,1.6,83,77,78.0,93,0.4,10,10,10,273,12.7,1.3,2013
50,2,20,-0.1,-1.0,1.6,3.2,0.2,1.5,-0.1,67,70,66.0,65,2.4,8,9,5,309,11.4,0.2,2013
