,month,day,hum_14h,hum_19h,hum_7h,hum_dailyMean,precip,skyCover_14h,skyCover_19h,skyCover_7h,sun_hours,temp_14h,temp_19h,temp_7h,temp_dailyMax,temp_dailyMean,temp_dailyMin,temp_minGround,wind_degrees,wind_mSec,year
0,1,1,62,68,96,75,0.0,10,8,10,0.2,8.9,6.6,2.5,9.2,5.8,2.3,-1.0,274.0,16.6,2018
1,1,2,60,74,68,67,0.3,8,7,8,2.7,8.0,5.7,6.7,8.4,5.1,1.8,-0.8,304.0,16.1,2018
2,1,3,88,69,78,78,3.4,10,6,5,0.2,40.0,6.7,1.5,7.9,4.4,0.9,-2.6,271.0,21.4,2018
3,1,4,56,70,62,63,6.4,9,10,6,2.3,9.1,6.8,7.2,9.6,8.1,6.5,4.8,292.0,23.5,2018
4,1,5,65,83,74,74,6.4,10,10,8,2.7,10.9,6.9,9.3,12.1,8.5,4.8,1.9,281.0,21.5,2018
5,1,6,90,94,97,94,0.0,10,10,8,1.5,7.1,6.8,,8.4,5.3,2.2,-0.6,119.0,6.3,2018
6,1,7,85,86,91,87,1.2,10,10,10,0.0,8.4,7.5,6.9,8.7,7.6,6.5,6.1,38.0,5.7,2018
7,1,8,98,98,98,98,1.7,10,10,10,0.0,5.1,4.2,5.5,7.5,5.9,4.2,5.2,126.0,7.3,2018
8,1,9,86,84,95,88,4.6,10,8,10,0.0,6.9,6.3,6.3,6.9,5.6,4.2,4.2,136.0,14.3,2018
9,1,10,96,96,96,96,7.6,10,10,10,0.0,,3.9,,6.5,4.9,3.2,4.0,150.0,11.0,2018
10,1,11,78,82,98,86,0.0,9,10,9,2.8,7.0,5.4,,8.1,4.9,1.7,-0.7,336.0,7.9,2018
11,1,12,83,89,82,85,2.1,10,10,10,0.0,5.3,3.6,5.2,5.6,4.6,3.5,3.1,10.0,8.8,2018
12,1,13,96,96,90,94,1.6,10,10,10,0.0,0.8,,1.0,3.6,2.2,0.7,0.1,123.0,9.1,2018
13,1,14,89,90,94,91,2.2,10,10,10,0.0,0.2,,0.3,1.4,0.6,-0.3,0.1,128.0,11.8,2018
14,1,15,77,80,88,82,0.0,9,10,2,4.8,-0.4,-1.4,-2.0,0.8,-0.8,-2.3,-2.7,153.0,14.4,2018
15,1,16,91,94,91,92,1.8,10,10,10,0.0,0.6,2.2,-0.8,2.2,0.2,-1.8,-1.7,165.0,14.8,2018
16,1,17,71,63,80,71,0.5,6,9,8,4.0,4.4,2.7,3.5,6.0,4.1,2.2,0.6,284.0,21.9,2018
17,1,18,65,68,70,68,1.3,9,3,2,1.0,5.2,4.0,2.2,5.6,3.5,1.4,-0.2,290.0,14.3,2018
18,1,19,61,72,82,72,6.2,2,1,9,4.1,7.2,3.4,4.3,9.6,6.0,2.4,1.0,289.0,18.0,2018
19,1,20,65,83,92,80,1.6,9,7,10,4.1,5.3,1.8,1.3,5.7,2.9,0.0,-3.3,289.0,11.8,2018
20,1,21,89,75,90,85,0.6,10,9,10,0.3,2.0,1.8,0.8,2.5,1.6,0.7,-1.5,328.0,12.6,2018
21,1,22,73,82,82,79,1.4,9,10,9,1.8,1.0,1.0,-1.7,1.8,-0.2,-2.2,-5.4,302.0,9.1,2018
22,1,23,79,80,83,81,1.4,10,9,8,0.0,5.6,5.3,3.5,5.9,3.2,0.4,0.1,284.0,11.8,2018
23,1,24,85,92,85,87,1.4,10,1,9,1.2,6.1,2.6,4.2,6.2,4.4,2.6,2.8,123.0,4.7,2018
24,1,25,74,81,90,82,0.0,7,6,8,2.1,5.3,2.6,0.9,5.7,3.3,0.9,-2.1,123.0,8.3,2018
25,1,26,84,90,95,90,0.0,10,10,10,0.0,2.3,,0.7,2.6,1.6,0.6,-0.4,121.0,6.3,2018
26,1,27,78,78,89,82,0.0,10,10,10,0.1,2.8,3.2,,3.7,2.8,1.9,1.7,316.0,10.1,2018
27,1,28,52,76,92,73,0.0,9,10,8,2.3,10.8,8.9,,11.7,6.5,1.3,-1.2,288.0,19.9,2018
28,1,29,52,57,67,59,0.0,2,1,8,6.7,14.2,12.4,,14.4,11.6,8.7,7.4,279.0,23.7,2018
29,1,30,54,73,73,67,1.1,3,1,9,3.0,9.0,6.5,8.9,12.4,9.5,6.5,7.6,277.0,19.8,2018
30,1,31,63,83,93,80,0.0,2,1,10,3.7,9.4,3.8,1.4,10.0,5.4,0.7,-2.8,156.0,8.2,2018
31,2,1,82,83,94,86,0.6,10,10,10,0.9,5.0,4.8,1.9,6.2,3.8,1.3,-1.8,,13.7,2018
32,2,2,63,64,76,68,0.2,10,8,9,0.0,5.4,,3.7,5.5,4.6,3.6,2.0,,11.0,2018
33,2,3,69,75,64,69,0.0,10,9,9,0.0,4.0,3.0,3.1,4.4,3.5,2.5,-0.4,,9.7,2018
34,2,4,72,85,78,78,0.0,7,0,7,3.2,3.2,0.0,2.0,5.0,2.5,0.0,0.0,,,2018
35,2,5,64,62,90,72,0.0,7,10,1,4.6,,0.7,-3.4,2.6,-0.5,-3.5,-7.3,,7.2,2018
36,2,6,69,81,62,71,0.0,10,10,10,0.0,0.5,1.1,-1.4,1.1,-0.3,-1.6,-1.8,,14.8,2018
37,2,7,94,97,84,92,7.5,10,10,10,0.0,0.7,0.7,-1.2,1.2,-0.2,-1.6,-1.2,,12.8,2018
38,2,8,81,79,85,82,0.3,10,9,10,0.0,1.5,1.1,1.3,1.6,1.1,0.6,0.1,,13.4,2018
39,2,9,67,76,78,74,0.0,9,9,10,1.1,2.1,0.2,0.2,2.8,1.5,0.1,0.0,,6.6,2018
40,2,10,79,86,77,81,0.0,10,10,10,0.0,0.1,-0.1,-0.5,0.4,-0.1,-0.6,-0.6,,6.8,2018
41,2,11,61,67,74,67,0.1,8,10,7,4.5,5.9,3.0,-0.7,6.1,2.5,-1.2,-1.7,,8.3,2018
42,2,12,70,88,79,79,0.7,10,10,9,0.0,5.4,2.1,3.6,5.8,3.7,1.5,0.0,,10.6,2018
43,2,13,85,82,77,81,1.0,10,10,9,0.0,1.2,1.1,0.6,2.4,1.5,0.5,0.0,,11.7,2018
44,2,14,65,85,80,77,0.5,9,10,9,3.3,2.5,0.5,-0.2,3.3,1.5,-0.3,-1.1,,10.1,2018
45,2,15,55,62,81,66,1.3,8,10,1,7.1,3.7,1.6,-1.5,3.9,1.2,-1.6,-4.1,,7.3,2018
46,2,16,85,90,87,87,1.4,9,7,10,0.8,4.8,2.0,0.4,5.4,2.8,0.2,-1.7,,7.9,2018
47,2,17,92,95,93,93,4.4,10,10,10,0.0,-0.3,,-0.5,2.1,0.8,-0.6,-0.3,,10.1,2018
48,2,18,77,71,93,80,4.2,10,9,10,0.4,2.5,1.6,0.7,3.0,1.7,0.4,0.1,,8.7,2018
49,2,19,56,75,92,74,1.7,4,9,1,8.4,3.7,0.3,-4.7,4.2,-0.3,-4.7,-7.7,,10.5,2018
50,2,20,91,90,95,92,6.5,10,10,10,0.0,0.3,-0.3,-1.5,0.8,-0.4,-1.6,-2.1,,7.8,2018
51,2,21,69,80,83,77,1.1,10,10,10,0.0,0.4,-1.2,-1.5,0.5,-0.5,-1.5,-1.7,,9.4,2018
52,2,22,66,86,74,75,0.4,9,10,10,0.0,1.3,-1.7,-1.1,1.6,-0.1,-1.7,-1.9,,9.7,2018
53,2,23,69,72,77,73,0.1,9,10,10,0.4,0.3,-1.5,-2.5,0.7,-1.0,-2.6,-3.2,,9.0,2018
54,2,24,52,53,72,59,0.0,9,8,2,6.5,-1.0,-3.4,-40.0,0.3,-3.0,-6.2,-8.1,,11.5,2018
55,2,25,52,58,70,60,0.0,6,0,1,9.0,-5.1,-8.8,-9.6,-3.4,-6.5,-9.6,-10.2,,10.5,2018
56,2,26,56,63,73,64,0.0,7,10,3,3.0,-6.5,-8.0,-12.0,-5.9,-9.0,-12.1,-12.8,,11.4,2018
57,2,27,70,68,63,67,0.2,10,10,10,0.1,-8.8,-9.5,-10.6,-8.0,-9.4,-10.8,-10.3,,11.3,2018
58,2,28,53,63,68,61,0.2,4,0,8,5.6,-7.0,-9.0,-11.4,-6.3,-8.9,-11.4,-11.6,,10.4,2018
59,3,1,65,81,76,74,0.0,10,10,1,5.2,-6.0,-7.0,-11.3,-5.5,-9.0,-12.4,-14.1,127.0,16.6,2018
60,3,2,86,88,83,86,1.0,10,10,10,0.0,-5.0,-5.0,-6.6,-4.8,-6.1,-7.3,-7.1,136.0,13.3,2018
61,3,3,47,50,71,56,0.1,10,9,10,0.8,-1.6,-1.7,-4.7,-0.6,-2.9,-5.2,-5.4,322.0,7.8,2018
62,3,4,56,76,69,67,0.0,9,0,9,8.0,2.1,-0.6,-7.2,2.7,-2.3,-7.3,-9.1,137.0,10.6,2018
63,3,5,66,83,87,79,0.4,10,10,10,0.0,-0.2,-1.2,-0.9,0.1,-0.7,-1.5,-2.7,153.0,13.7,2018
64,3,6,89,86,89,88,3.3,10,8,10,0.0,1.3,1.4,0.2,1.9,0.4,-1.2,-1.4,128.0,9.6,2018
65,3,7,53,76,93,74,0.7,9,4,10,5.4,12.2,5.5,0.3,12.6,6.0,-0.6,-2.6,263.0,13.6,2018
66,3,8,50,66,73,63,0.7,5,1,9,6.1,10.6,4.9,40.0,11.8,8.2,4.5,1.9,274.0,12.5,2018
67,3,9,41,60,85,62,0.1,10,9,9,1.5,12.7,9.9,2.2,13.6,7.3,1.0,-0.9,269.0,10.9,2018
68,3,10,50,69,86,68,0.1,8,8,9,7.3,14.2,10.1,4.5,14.2,9.3,4.4,2.1,154.0,6.3,2018
69,3,11,61,66,93,73,0.2,9,8,2,7.8,,12.2,4.4,15.9,9.9,3.9,0.2,188.0,15.2,2018
70,3,12,66,88,81,78,2.2,9,9,7,1.3,13.1,10.1,42.0,15.5,12.7,9.9,7.7,284.0,17.0,2018
71,3,13,39,54,66,53,0.4,5,3,9,6.9,15.5,10.1,9.6,15.9,12.0,8.1,5.0,274.0,14.8,2018
72,3,14,63,76,73,71,0.3,10,9,8,0.4,8.9,7.0,7.6,10.1,8.6,7.0,3.7,283.0,12.4,2018
73,3,15,74,80,84,79,3.6,10,10,9,0.0,6.7,6.9,3.7,7.4,5.5,3.5,0.8,127.0,9.4,2018
74,3,16,83,88,95,89,7.0,9,9,10,0.5,9.8,8.2,7.2,10.6,8.5,6.3,4.4,255.0,9.6,2018
75,3,17,92,87,81,87,4.1,10,10,10,0.0,-0.1,-1.5,0.6,8.7,3.6,-1.5,0.8,22.0,10.8,2018
76,3,18,61,63,69,64,1.0,10,10,10,1.1,-1.2,-2.1,-40.0,-1.1,-3.0,-4.9,-5.0,18.0,11.7,2018
77,3,19,60,67,70,66,0.6,10,10,10,0.0,-2.2,-2.9,-5.7,-1.9,-3.9,-5.9,-5.5,346.0,8.0,2018
78,3,20,54,44,74,57,0.6,10,8,10,0.4,0.4,0.2,-2.9,1.0,-1.3,-3.6,-4.0,337.0,14.3,2018
79,3,21,40,39,70,50,0.0,6,0,1,5.7,4.4,2.3,-1.4,5.4,1.6,-2.2,-3.7,318.0,11.5,2018
80,3,22,34,57,75,55,0.0,1,4,0,11.3,7.1,2.8,-3.0,9.0,2.5,-4.1,-7.3,334.0,8.8,2018
81,3,23,64,72,75,70,0.4,9,10,10,0.3,6.8,5.2,2.4,7.4,4.1,0.8,-3.1,300.0,11.9,2018
82,3,24,37,57,74,56,0.0,5,7,9,8.6,9.4,5.8,3.4,10.3,6.8,3.2,2.3,136.0,10.2,2018
83,3,25,55,64,84,68,0.0,7,4,1,7.3,6.1,3.4,0.8,6.6,3.4,0.2,-1.1,176.0,13.9,2018
84,3,26,48,58,84,63,0.0,5,8,4,6.6,8.2,40.0,-0.6,9.8,4.2,-1.5,-4.9,345.0,9.5,2018
85,3,27,54,91,74,73,3.7,9,9,10,2.1,9.8,4.2,5.4,10.4,7.2,3.9,3.1,295.0,9.6,2018
86,3,28,61,79,96,79,0.5,9,10,2,6.0,9.9,40.0,0.6,10.6,5.0,-0.7,-4.1,220.0,7.5,2018
87,3,29,48,63,67,59,0.7,10,10,9,1.2,12.4,9.0,10.8,13.2,9.9,6.5,4.9,267.0,12.8,2018
88,3,30,69,76,82,76,0.7,9,9,9,3.4,10.7,9.8,6.6,12.5,8.7,4.9,2.4,174.0,12.6,2018
89,3,31,63,71,74,69,21.6,10,10,1,3.3,13.4,10.4,11.6,15.4,12.6,9.7,6.9,177.0,9.6,2018
90,4,1,46,58,72,59,21.6,9,8,9,3.1,12.3,,7.5,12.6,9.8,6.9,5.4,,19.0,2018
91,4,2,37,49,68,51,0.0,2,2,1,8.3,14.0,10.5,7.2,15.5,10.5,5.5,3.9,,13.9,2018
92,4,3,41,50,72,54,0.0,6,5,6,11.3,18.5,,6.8,19.7,12.1,4.4,1.2,,8.6,2018
93,4,4,50,50,71,57,0.0,9,9,9,4.7,17.5,16.6,9.3,19.5,14.0,8.5,5.1,,5.9,2018
94,4,5,57,53,53,54,0.0,10,9,9,1.2,13.8,14.2,14.1,16.7,13.8,10.9,7.5,,14.8,2018
95,4,6,45,54,66,55,0.0,2,0,8,9.6,12.3,9.6,7.9,14.2,10.9,7.6,6.0,,12.6,2018
96,4,7,43,65,62,57,0.0,4,10,3,8.5,,11.6,5.7,17.0,9.6,2.2,-1.6,,11.3,2018
97,4,8,37,47,86,57,0.0,3,0,9,11.0,19.4,17.6,9.3,20.7,14.3,7.9,6.3,,16.0,2018
98,4,9,26,36,60,41,0.0,6,5,6,12.2,24.8,20.7,13.8,25.4,17.5,9.5,4.6,,15.9,2018
99,4,10,53,63,70,62,0.0,8,9,2,7.8,17.3,15.9,12.9,20.7,16.1,11.4,7.7,,16.6,2018
100,4,11,34,48,75,52,0.0,6,5,3,11.7,,17.8,10.5,21.9,15.2,8.4,5.0,,12.9,2018
101,4,12,41,50,69,53,1.1,4,9,9,8.8,23.1,19.5,13.3,24.2,17.8,11.3,8.5,,14.5,2018
102,4,13,38,35,89,54,1.1,1,1,9,10.5,22.2,18.9,14.3,22.7,17.8,12.9,10.5,,15.6,2018
103,4,14,35,43,67,48,0.0,8,7,5,12.9,20.5,17.6,11.8,22.0,15.1,8.2,4.1,,8.3,2018
104,4,15,54,61,78,64,0.4,9,10,10,4.0,21.6,19.7,11.2,23.0,16.7,10.4,7.0,,9.6,2018
105,4,16,64,74,80,73,0.4,10,10,10,0.0,17.8,15.5,15.6,19.7,17.3,14.8,13.5,,12.8,2018
106,4,17,41,58,72,57,0.0,6,5,8,9.2,21.3,17.5,14.7,22.1,17.7,13.2,11.4,,12.0,2018
107,4,18,36,49,66,50,0.0,6,1,4,12.9,21.6,17.7,14.1,22.7,16.2,9.6,5.0,,9.1,2018
108,4,19,37,50,65,51,0.0,1,4,0,13.2,24.2,20.1,13.9,25.4,17.7,10.0,6.2,,8.1,2018
109,4,20,32,44,68,48,0.0,1,2,0,13.1,25.0,20.2,16.9,26.5,19.9,13.2,9.9,,7.6,2018
110,4,21,35,47,60,47,0.0,4,5,1,13.3,26.9,22.0,14.9,28.5,19.1,9.6,5.8,,6.6,2018
111,4,22,38,49,60,49,0.0,2,1,5,12.2,25.9,22.4,18.0,26.7,20.1,13.4,9.4,,7.1,2018
112,4,23,35,43,78,52,2.6,9,8,8,9.7,27.0,22.1,15.7,28.2,20.6,12.9,9.5,,12.6,2018
113,4,24,44,55,78,59,2.2,2,8,9,9.0,23.2,18.9,,23.7,19.5,15.2,13.9,,13.4,2018
114,4,25,33,47,75,52,2.0,9,6,9,13.1,26.3,22.0,15.4,27.0,19.5,12.0,8.0,,17.2,2018
115,4,26,76,66,85,76,2.0,10,5,10,0.8,12.7,11.7,13.7,22.0,16.9,11.7,12.8,,13.5,2018
116,4,27,40,57,78,58,0.0,8,8,9,13.4,18.9,16.6,9.7,19.7,13.1,6.5,2.4,,13.7,2018
117,4,28,48,56,82,62,0.0,5,7,1,13.3,23.8,22.6,12.2,25.4,17.2,9.0,5.0,,11.4,2018
118,4,29,27,39,76,47,0.0,1,3,1,13.2,28.6,25.0,16.9,29.2,21.5,13.8,10.3,,14.8,2018
119,4,30,34,34,54,41,0.0,5,1,6,12.5,26.7,23.0,19.8,27.9,21.6,15.2,11.2,,15.6,2018
120,5,1,40,46,52,46,0.0,8,7,3,10.4,21.8,19.8,16.0,23.3,18.7,14.1,9.1,,14.5,2018
121,5,2,52,69,65,62,13.4,8,7,5,8.8,25.7,22.1,16.5,26.1,19.7,13.2,9.3,,15.4,2018
122,5,3,52,59,85,65,13.4,5,4,3,12.8,24.9,22.4,16.9,27.7,20.6,13.4,11.1,,13.1,2018
123,5,4,57,62,78,66,0.0,8,8,9,4.3,23.0,,16.4,23.7,19.6,15.4,13.9,,10.0,2018
124,5,5,49,41,73,54,0.0,2,3,10,9.0,22.0,,15.1,23.1,18.5,13.9,11.9,,12.2,2018
125,5,6,31,40,48,40,0.0,0,0,1,14.0,22.4,19.4,13.9,22.9,17.6,12.2,10.0,,12.4,2018
126,5,7,32,36,55,41,0.0,3,1,6,14.2,24.0,20.8,14.8,25.2,18.3,11.4,7.9,,9.5,2018
127,5,8,39,90,53,61,20.3,7,8,5,8.5,23.0,12.8,16.5,24.3,18.6,12.8,10.5,,12.3,2018
128,5,9,49,67,89,68,0.2,8,4,1,13.1,24.5,80.4,14.2,25.1,17.9,10.6,8.2,,9.9,2018
129,5,10,55,79,79,71,1.5,8,9,8,10.0,23.8,17.9,17.0,25.3,19.4,13.4,10.9,,13.7,2018
130,5,11,54,58,76,63,0.0,3,5,8,10.3,22.5,20.8,16.9,24.2,19.5,14.8,12.7,,11.6,2018
131,5,12,50,67,80,66,0.0,5,6,2,10.5,25.3,20.9,,25.8,19.5,13.2,10.2,,8.7,2018
132,5,13,43,44,71,53,0.0,2,3,3,13.3,24.6,22.2,17.7,25.5,19.7,13.8,10.5,,10.1,2018
133,5,14,51,57,58,55,9.1,9,9,7,11.1,20.7,17.7,17.0,22.2,18.0,13.7,9.6,,10.5,2018
134,5,15,89,88,91,89,9.1,10,9,10,0.0,12.0,11.6,12.0,17.7,14.7,11.6,11.8,,8.2,2018
135,5,16,57,67,81,68,0.7,7,6,9,9.4,19.0,15.8,13.2,20.0,15.1,10.2,9.5,,13.6,2018
136,5,17,81,81,75,79,0.8,10,8,8,1.9,,14.9,14.1,16.5,14.5,12.5,10.9,,14.2,2018
137,5,18,55,68,77,67,0.9,5,7,7,8.9,21.5,15.6,15.2,22.6,18.2,13.7,12.9,,14.3,2018
138,5,19,52,62,72,62,0.0,6,5,6,11.3,21.3,18.3,15.5,22.8,17.5,12.1,8.5,,9.6,2018
139,5,20,40,46,63,50,0.0,8,7,8,13.7,22.2,19.4,14.7,23.8,18.5,13.1,9.4,,8.0,2018
140,5,21,42,49,72,54,0.0,5,7,8,6.6,22.5,20.4,15.7,23.0,17.3,11.6,8.1,,7.4,2018
141,5,22,46,61,73,60,0.0,9,9,1,10.7,24.6,20.9,15.8,25.2,18.7,12.2,8.4,,13.6,2018
142,5,23,48,64,78,63,0.0,8,9,8,9.9,25.6,22.9,18.3,27.0,20.8,14.5,10.1,,9.9,2018
143,5,24,58,90,73,74,13.7,9,10,9,6.8,,,19.6,26.3,21.3,16.2,13.2,,8.4,2018
144,5,25,78,79,92,83,4.5,9,2,10,2.3,19.1,18.1,15.9,19.9,17.9,15.8,13.9,,6.7,2018
145,5,26,47,54,85,62,0.0,3,3,0,13.6,25.9,23.0,16.9,26.6,19.8,13.0,9.9,,6.1,2018
146,5,27,56,59,72,62,0.0,6,9,1,9.6,26.2,23.8,20.4,27.4,21.0,14.5,11.4,,9.4,2018
147,5,28,56,61,72,63,0.0,3,9,8,9.2,27.7,24.2,21.3,28.3,22.5,16.6,13.8,,10.6,2018
148,5,29,53,55,73,60,0.3,7,9,1,10.4,26.8,23.1,21.9,28.5,23.1,17.6,14.4,,14.2,2018
149,5,30,41,45,71,52,0.3,8,7,9,6.1,26.2,24.4,20.5,27.4,23.6,19.7,16.5,,9.6,2018
150,5,31,42,46,66,51,0.0,7,7,1,12.9,29.5,26.4,20.5,29.6,22.8,15.9,11.9,,11.7,2018
151,6,1,65,64,64,64,0.0,8,9,5,6.3,23.4,23.7,22.8,26.8,22.4,18.0,14.4,264.0,11.3,2018
152,6,2,58,59,63,60,0.0,8,7,5,8.7,24.2,21.9,22.2,26.0,22.2,18.4,14.8,270.0,13.3,2018
153,6,3,44,53,68,55,0.0,7,6,7,13.5,26.4,24.3,20.8,28.5,24.1,19.6,16.0,351.0,9.3,2018
154,6,4,42,51,71,55,0.0,7,8,5,13.4,28.1,25.2,21.0,28.9,22.7,16.4,12.7,181.0,7.4,2018
155,6,5,38,56,66,53,0.0,8,8,1,13.0,29.6,24.9,22.8,30.0,23.4,16.8,12.7,314.0,12.9,2018
156,6,6,58,80,63,67,0.0,9,8,8,8.3,24.6,19.9,21.5,28.0,23.8,19.6,17.6,69.0,14.2,2018
157,6,7,66,68,79,71,0.0,8,9,10,1.0,92.0,22.8,18.7,24.7,21.2,17.7,15.6,136.0,8.0,2018
158,6,8,56,58,82,65,1.0,7,8,10,5.4,28.4,26.8,19.8,29.1,23.6,18.0,16.1,153.0,10.8,2018
159,6,9,68,61,81,70,1.0,7,8,9,8.4,23.8,24.1,19.8,27.4,22.5,17.5,15.7,138.0,14.6,2018
160,6,10,47,57,75,60,0.2,9,8,3,10.2,116.8,26.3,21.9,30.6,23.9,17.1,14.1,267.0,7.3,2018
161,6,11,,,,52,0.1,8,9,8,13.0,30.6,27.6,24.5,30.9,25.3,19.7,16.7,114.0,7.8,2018
162,6,12,51,90,63,68,9.2,9,10,3,6.8,25.6,21.2,24.1,28.4,24.8,21.2,20.8,257.0,14.1,2018
163,6,13,63,62,82,69,7.5,9,10,8,4.8,23.1,18.9,18.8,24.3,20.5,16.7,15.7,334.0,12.8,2018
164,6,14,58,63,69,63,0.0,10,10,10,0.6,18.7,18.0,15.2,20.6,17.8,14.9,14.8,301.0,13.6,2018
165,6,15,45,48,60,51,0.0,9,9,9,3.2,22.3,,17.0,24.4,20.1,15.7,15.0,300.0,13.6,2018
166,6,16,45,54,55,51,0.0,9,10,4,6.6,24.6,23.0,20.8,26.8,22.5,18.1,15.6,330.0,10.1,2018
167,6,17,39,47,55,47,0.0,5,9,1,9.1,26.7,24.6,22.2,28.6,23.3,17.9,14.8,293.0,12.5,2018
168,6,18,,,,45,0.0,3,4,6,10.9,27.6,100.4,20.4,28.5,24.2,19.8,18.8,286.0,15.8,2018
169,6,19,37,41,49,42,0.0,6,2,1,12.2,27.6,25.3,,28.9,23.5,18.0,14.3,323.0,11.6,2018
170,6,20,34,41,52,42,0.0,2,1,0,14.7,29.8,27.6,23.8,31.3,24.7,18.0,14.4,120.0,6.8,2018
171,6,21,30,37,56,41,1.0,2,9,1,13.8,33.0,30.1,24.5,33.5,25.8,18.0,14.9,346.0,15.8,2018
172,6,22,37,60,47,48,1.0,9,10,10,2.1,17.6,13.6,14.5,30.1,21.9,13.6,14.6,291.0,14.9,2018
173,6,23,42,41,65,49,0.4,8,9,7,4.4,19.1,17.6,14.3,20.3,16.1,11.9,10.3,307.0,15.6,2018
174,6,24,43,46,66,52,0.9,8,9,8,3.7,19.7,18.7,,21.1,16.8,12.5,11.1,306.0,11.7,2018
175,6,25,54,59,77,63,0.8,9,9,10,1.7,18.7,18.5,13.1,21.6,16.6,11.6,10.7,302.0,9.4,2018
